cpu-cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss
1247229794,2436981096,7148364,3453531,13910685,57733314,614397,1234130,7603235,497633,260540,70040,4656412,2152708,6719101
1336039643,2354142847,6687349,2437944,16686202,52420033,506837,831498,6502757,588575,257838,101369,5751075,3406561,10667588
1155402066,1971564565,6823291,2955824,16004236,53623350,384012,1148769,8428008,542475,270887,123397,5761437,4032165,10757812
500071313,907349235,1644861,2331606,7238447,8374390,323634,299501,1340006,204998,132279,37003,1276457,1212635,3965678
1336539797,2199982897,362885,25529099,80398375,3933340,326884,7363884,441912,28928,1787773,729,84389,476875,8456398
1367137377,2545428834,24686,22721430,122850120,101517,61850,3214828,22929,4811,622115,404,39356,84360,5515162
1371340861,2471065282,34362,23077798,122859992,98198,64063,3307507,22160,4576,606389,467,37024,86255,5838153
1374159048,2499333305,27002,23015203,123937784,100584,71688,3237464,29968,4518,631348,395,34427,83130,5710594
1373576916,2549182970,17632,22779053,122693118,101453,66452,3275443,25084,4580,630425,425,31791,83146,5610664
1371321235,2513509918,31734,22730364,123053866,110268,60008,3177191,25916,4491,627376,413,32763,85757,5708599
1370168170,2462274600,34451,22951474,123942924,103436,66584,3193224,32377,4485,604568,473,32943,84594,5773057
1371891658,2505870455,23828,22918673,123292195,100281,71038,3280300,36237,4616,628738,407,34755,82234,5559367
1376094381,2554241945,19608,22805964,123642793,99641,64245,3226800,29204,4595,633429,425,33863,83775,5703037
1373184271,2511246222,35118,22323224,122830792,120704,57324,3091832,28463,4226,625449,389,36223,85950,5770669
1368214467,2472018153,32748,22853865,122923719,98181,69485,3192105,33887,4688,617311,425,32845,84456,5721898
1355651221,2502823300,16106,22855826,117659632,103299,75979,3147133,54145,4860,575829,512,33619,83434,5028921
1372909214,2484530491,48395,23064496,123771612,91428,70322,3205320,48428,4844,615451,316,34133,84732,5700217
1374809534,2527191554,28329,22922000,123124946,103271,72830,3255357,50567,4776,626415,355,32594,81371,5521038
1371440987,2541123838,35539,22677375,123527286,95915,59244,3214797,35502,4733,622181,941,32432,85349,5620961
1365794542,2474816354,50869,22677549,123480836,93565,57188,3123584,40481,4552,620928,1349,34647,85751,5792820
1372650957,2498676010,40608,22882766,123051046,94846,67137,3229780,53998,4932,621384,1461,35291,81646,5603270
1374097035,2547504424,25411,22786701,122532747,92994,60963,3246176,42456,4596,622748,1348,33958,82977,5485999
1373280619,2523977170,46823,22694624,123900440,90308,51015,3176151,35003,4821,615451,1413,35857,86684,5695865
1354016310,2352834144,42963,23346661,119856779,89591,73984,3345222,62759,4474,566613,1521,36102,81045,5274638
1370715532,2541815315,30272,22664922,121950291,97137,55797,3247309,34959,4915,615598,1365,34473,85874,5606468
