cpu-cycles,instructions,branch-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss ,CPI
0.919729,0.907538,0.007012,0.932388,0.005714,0.022349,0.416314,0.005648,0.018908,0.030715,0.56117975
0.918177,0.907957,0.007349,0.926836,0.004607,0.019968,0.413881,0.004874,0.015483,0.026899,0.560319819
0.89637,0.884056,0.008343,0.920278,0.005255,0.0188,0.412458,0.005983,0.016818,0.028161,0.56208495
0.913296,0.917065,0.007237,0.936746,0.005612,0.019899,0.421579,0.004952,0.016908,0.027154,0.55405404
0.917229,0.923258,0.008008,0.942339,0.004723,0.0188,0.424681,0.004565,0.019261,0.021266,0.552916525
0.925176,0.937573,0.008898,0.948165,0.005153,0.018113,0.424847,0.004797,0.015846,0.020667,0.549851441
0.921983,0.927868,0.00894,0.945544,0.0053,0.025395,0.420201,0.005107,0.01071,0.021822,0.552846886
0.921035,0.924836,0.009128,0.947902,0.005966,0.036295,0.423259,0.004797,0.002482,0.023051,0.553813379
0.924743,0.920896,0.014268,0.921819,0.005879,0.035688,0.391822,0.0049,0.002217,0.024059,0.55717113
0.925615,0.942953,0.005499,0.949589,0.006263,0.035905,0.422106,0.004565,0.001613,0.02294,0.547656084
0.926316,0.941396,0.004433,0.953901,0.005812,0.032058,0.42497,0.004539,0.001681,0.02042,0.54863473
0.924636,0.928086,0.004494,0.949593,0.005831,0.036466,0.424409,0.004797,0.001506,0.010023,0.553867062
0.923076,0.932915,0.003784,0.947198,0.005489,0.033925,0.418688,0.00441,0.001497,0.010949,0.551044534
0.921756,0.931599,0.00503,0.948409,0.006023,0.036993,0.420179,0.004978,0.002058,0.011593,0.55107826
0.926104,0.947061,0.005051,0.952274,0.006054,0.034382,0.424381,0.005184,0.002707,0.011862,0.546056885
0.921285,0.93218,0.003576,0.944632,0.005624,0.034405,0.42375,0.004771,0.001953,0.010131,0.550620529
0.923814,0.936995,0.004302,0.950521,0.005394,0.032883,0.421948,0.00521,0.001174,0.010291,0.549537909
0.923746,0.934753,0.004355,0.950986,0.005278,0.032047,0.419704,0.005364,0.001315,0.011546,0.550506562
0.924395,0.939401,0.00259,0.950041,0.005554,0.032951,0.422735,0.005158,0.001903,0.010527,0.548714776
0.924378,0.939828,0.008789,0.923604,0.006158,0.0361,0.406694,0.00521,0.001972,0.009385,0.548518541
0.920951,0.926278,0.003429,0.948383,0.005729,0.03365,0.420674,0.005055,0.002084,0.011731,0.553127106
0.919728,0.929859,0.002794,0.942053,0.005735,0.035791,0.417268,0.004952,0.001417,0.010435,0.551003521
0.922626,0.92923,0.003121,0.946085,0.005488,0.032928,0.420282,0.004952,0.001887,0.012309,0.552505625
0.920904,0.943444,0.002821,0.948717,0.005717,0.03436,0.420475,0.004488,0.001597,0.010949,0.54547862
0.922492,0.946549,0.001757,0.950587,0.005263,0.032333,0.423611,0.0049,0.00237,0.008947,0.544780976
0.922798,0.935021,0.003023,0.951439,0.005532,0.035035,0.423803,0.005158,0.002553,0.01029,0.549989723
0.919775,0.920327,0.003201,0.943674,0.005232,0.032894,0.419241,0.005132,0.001322,0.011597,0.555323076
0.920731,0.928069,0.002174,0.941154,0.004748,0.030112,0.420183,0.012792,0.00235,0.011044,0.552228745
0.923742,0.940296,0.00289,0.950998,0.004932,0.030055,0.420143,0.02579,0.001852,0.011786,0.548046566
0.923472,0.934761,0.002292,0.939599,0.005761,0.035035,0.420404,0.027338,0.002722,0.011051,0.550387491
0.921645,0.944735,0.007344,0.923722,0.005142,0.033787,0.399863,0.02708,0.001435,0.01047,0.545221655
0.922195,0.929812,0.001184,0.946182,0.005446,0.033707,0.419793,0.026874,0.00202,0.010331,0.552063114
0.924244,0.940845,0.000324,0.952417,0.003357,0.032241,0.423551,0.026693,0.016138,0.009974,0.548013596
